trial,run,dog,chemical,event,start_time,end_time,cal
1,2,1,Ammonia,2,21.7,22.3,10.5
1,2,1,Ammonia,3,28.1,28.8,10.5
1,2,1,Blank,1,12.8,13.8,12.2
1,2,1,Blank,2,19.8,20.5,12.2
1,2,1,Blank,3,27.3,27.8,12.2
1,2,1,Blank,4,32.5,33.9,12.2
1,2,1,bromooctane,1,17.4,18.2,14.1
1,2,1,bromooctane,2,26.1,26.5,14.1
1,2,1,methylbenzoate,1,24.9,26.2,15.9
1,2,2,Ammonia,1,37.8,38.6,54.3
1,2,2,Blank,1,32.9,34.1,57
1,2,2,bromooctane,1,17,18.8,69.8
1,2,2,methylbenzoate,1,19,20,61
1,2,2,methylbenzoate,2,27.8,28.6,61
1,2,6,Ammonia,1,43,44,16.7
1,2,6,Ammonia,2,64.6,65.65,16.7
1,2,6,Ammonia,3,55.6,56.5,16.7
1,2,6,Blank,1,42,43,18.9
1,2,6,Blank,2,57.9,59,18.9
1,2,6,Blank,3,63.55,64.3,18.9
1,2,6,bromooctane,1,40.2,41.2,21.2
1,2,6,methylbenzoate,1,38.8,39.9,23.3
1,2,9,Ammonia,1,63.1,65,26.7
1,2,9,Blank,1,43.4,44.7,28.9
1,2,9,Blank,2,57.9,59.5,28.9
1,2,9,bromooctane,1,50.3,51.3,30.7
1,2,9,bromooctane,2,54.8,55.8,30.7
1,2,9,methylbenzoate,1,47.2,47.9,32.6
1,2,10,Ammonia,1,36.6,37,16.1
1,2,10,Ammonia,2,53.3,55,16.1
1,2,10,Ammonia,3,62.5,64.2,16.1
1,2,10,Ammonia,4,77.4,78.5,16.1
1,2,10,Blank,1,42.4,42.9,18
1,2,10,bromooctane,1,52.7,54.6,20
1,2,10,methylbenzoate,1,58.4,61.5,21.9
1,2,10,methylbenzoate,2,67,68,21.9
1,2,11,Ammonia,1,79.7,82,19
1,2,11,Ammonia,2,87.5,88.5,19
1,2,11,Blank,1,70.8,71.4,21.1
1,2,11,Blank,2,94.1,95.3,21.1
1,2,11,bromooctane,1,91,92.3,23.1
1,2,11,methylbenzoate,1,79.4,81.3,25.2
1,2,12,Ammonia,1,22,24.4,20.9
1,2,12,Ammonia,2,38.5,39.1,20.9
1,2,12,Blank,1,51.3,52,22.6
1,2,12,Blank,2,19,20.4,22.6
1,2,12,bromooctane,1,20.9,21.5,25
1,2,12,bromooctane,2,35.4,36.2,25
1,2,12,methylbenzoate,1,19.5,20.4,26.8
1,2,12,methylbenzoate,2,49.8,50.7,26.8
1,2,14,Ammonia,1,19.4,20.2,26.1
